@relation D4
 
@attribute F1 {0, 1}
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 {0, 1}
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 {0, 1}
@attribute F11 numeric
@attribute F12 numeric
@attribute result {1, 2, 3}

@data
0,0,0.3,-1,-1,-7,0,0,-0.145454545,1,0.037047835,0.035706737,1
0,0,-0.166666667,0,0,-2,0,0,0.125,1,0.029552867,0.041167594,3
0,0,0.039473684,0,0,2,0,0,0.434210526,0,0.029552867,0.039917386,3
0,0.041666667,0.5,-1,-1,-7,0,0.125,0.166666667,0,0.029552867,0.032561999,1
1,0.425,0,-1,-1,-5,1,0.005,0.28,1,0.029552867,0.030178889,3
0,0.214285714,0.107142857,0,-1,-1,0,0.25,0.142857143,1,0.029552867,0.027629117,3
0,0.375,0.25,-1,1,2,1,0.375,0.1875,0,0.029552867,0.032948104,2
0,0,0.325,0,0,-3,0,0,0.05,0,0.029552867,0.033176709,3
0,0.166666667,0.25,0,-1,2,0,0.125,0.125,1,0.029552867,0.032810933,3
0,0.068181818,0.261363636,-1,0,-4,0,0,0.363636364,0,0.029552867,0.03272547,3
0,0.079710145,0.06884058,0,-1,-4,0,-0.130434783,0.398550725,0,0.036836626,0.039933129,3
0,-0.083333333,-0.291666667,0,-1,1,0,-0.083333333,-0.333333333,1,0.036836626,0.040074383,3
0,0,0,-1,0,-2,0,-1,-0.666666667,1,0.036836626,0.04314904,1
0,0.041666667,-0.166666667,0,0,1,0,0.25,0.333333333,1,0.036836626,0.066873029,3
1,0.185185185,0,-1,0,-6,1,-0.055555556,0.194444444,1,0.036836626,0.030915321,1
0,-0.25,-0.333333333,0,-1,-2,0,-0.333333333,-0.583333333,1,0.036836626,0.0271547,3
0,0,0.4,0,-1,-3,0,-0.2,0.016666667,1,0.036836626,0.029639805,3
0,0,-0.052631579,0,0,0,0,0,0.083333333,1,0.036836626,0.039536458,3
0,0.053921569,0.078431373,0,2,-3,0,0.220588235,0.710784314,1,0.036836626,0.040791517,3
0,0,0,0,0,0,0,0,-0.119047619,1,0.036836626,0.04787931,3
0,-0.006441224,-0.057971014,0,-1,3,0,-0.043478261,0.114331723,1,0.030915321,0.039623682,3
1,-0.016835017,0,1,1,-5,1,-0.033670034,-0.060606061,1,0.030915321,0.032470813,2
0,0,-0.027777778,0,0,-1,0,0,-0.12962963,1,0.030915321,0.033719955,3
0,-0.018518519,0.166666667,0,-2,-11,0,-0.222222222,-0.240740741,1,0.030915321,0.034209057,3
0,0,0,0,0,0,0,0,-0.021786492,1,0.030915321,0.076803497,3
0,-0.065359477,-0.026143791,0,0,-2,0,-0.117647059,-0.039215686,1,0.030915321,0.033997019,3
0,-0.025462963,0.020833333,0,0,-2,0,0,-0.393518519,1,0.030915321,0.039779624,3
0,-0.059259259,-0.214814815,-2,-2,0,1,-0.022222222,-0.177777778,1,0.030915321,0.030094571,3
1,0,-0.857142857,0,1,1,0,0.071428571,-0.142857143,0,0.035912316,0.062813256,3
0,0,0.031746032,0,-6,-1,0,0,-0.563492063,0,0.035912316,0.053306796,3
0,0,0.114285714,0,0,-8,0,0.071428571,-0.114285714,0,0.035912316,0.043504132,3
0,0,0.933333333,0,0,-8,0,-0.066666667,-0.042857143,1,0.035912316,0.045776817,3
0,0,0.119047619,0,-1,-8,0,-0.055555556,-0.158730159,1,0.035912316,0.028515744,3
0,-0.178571429,-0.142857143,0,0,0,0,-0.25,-0.035714286,1,0.035912316,0.025842767,2
0,0.039170507,0.228110599,0,0,-19,0,-0.032258065,0.158986175,0,0.035912316,0.047362742,3
0,-0.178571429,0.25,2,-1,-1,0,-0.5,-0.642857143,1,0.035912316,0.037032863,3
0,0.015873016,0.277777778,0,0,-1,0,-0.111111111,-0.142857143,0,0.035912316,0.026193671,1
0,0.016835017,0.481481481,0,1,-1,0,0.070707071,0.106060606,0,0.032470813,0.028085546,1
0,-0.238636364,0.125,0,-3,0,0,-0.193181818,-0.193181818,0,0.032470813,0.027895796,3
0,-0.194805195,0.428571429,0,-1,-4,0,-0.428571429,-0.227272727,0,0.032470813,0.032718781,3
0,-0.037878788,0.371212121,-1,-2,-2,0,-0.25,-0.25,0,0.032470813,0.038622168,1
0,-0.010822511,0.16017316,0,0,-5,0,-0.192640693,0.058441558,0,0.032470813,0.029669443,3
0,0,0.090909091,0,0,1,0,0,-0.777777778,0,0.032470813,0.033878551,3
0,0.012121212,0.866666667,0,0,-2,0,-0.133333333,0.051515152,0,0.032470813,0.043382913,3
0,-0.328282828,0.333333333,-2,-1,0,0,-0.398989899,-0.318181818,1,0.032470813,0.031497819,1
0,-0.097402597,0.032467532,0,0,1,0,0,-0.071428571,0,0.032470813,0.039211599,1
0,0,0.05952381,0,0,1,0,0,-0.297619048,0,0.036562321,0.036836626,3
0,0,0.102857143,0,0,0,0,0,-0.034285714,0,0.036562321,0.030178889,3
0,0,0,0,0,-1,1,0.571428571,0,0,0.036562321,0.063806301,3
0,0.101190476,0.244047619,2,2,2,0,0,-0.255952381,0,0.036562321,0.0499809,3
0,0,0,0,0,0,0,0,-0.301587302,1,0.036562321,0.031497819,3
0,0,0,0,0,0,0,0,0.031746032,0,0.036562321,0.045001308,3
0,0,0.142857143,0,0,0,0,0,0.017857143,0,0.036562321,0.028949071,3
0,0,0.142857143,0,0,0,1,0.142857143,-0.123809524,0,0.036562321,0.054736405,3
0,-0.085,0.07,0,-1,-2,0,-0.125,-0.15,1,0.030178889,0.029020658,3
0,-0.16,-0.36,0,0,0,0,0,-0.36,0,0.030178889,0.041532503,1
0,-0.101818182,-0.254545455,0,-1,-3,0,0,-0.127272727,0,0.030178889,0.033076948,3
1,-0.071111111,-0.72,0,-1,1,0,0.04,-0.537777778,1,0.030178889,0.030020625,3
0,-0.13,0.5,0,-3,-1,0,-0.333333333,-0.236666667,1,0.030178889,0.029853433,1
0,0,0.333333333,0,-2,-4,0,-0.333333333,-0.6,1,0.030178889,0.02977529,3
0,0,0.04,0,0,0,0,0,0.048571429,0,0.030178889,0.040543663,3
0,-0.203636364,0.363636364,0,-1,-3,0,-0.272727273,-0.309090909,1,0.030178889,0.03288051,1
0,0,-0.085,0,2,-1,0,0,0.195,1,0.030178889,0.045909096,2
1,0,-0.5,-1,0,-7,0,0.25,0.361111111,0,0.024637518,0.031587647,2
1,0.204545455,-0.25,1,0,-2,0,0.75,0.204545455,1,0.024637518,0.032470813,2
1,0,-0.25,-1,0,-2,0,0.25,-0.607142857,0,0.024637518,0.031235982,1
1,0,-0.25,-1,0,-2,0,0.25,-0.607142857,0,0.024637518,0.031235982,1
0,0.15,-0.15,2,2,-2,0,0,0.15,1,0.024637518,0.029332207,1
0,0,-0.523809524,0,0,3,0,0.071428571,-0.023809524,0,0.027629117,0.022841829,3
0,0,0.152380952,0,-1,2,0,0,0.380952381,0,0.027629117,0.035848458,3
0,0,-0.114285714,0,0,-2,0,0,0.114285714,1,0.027629117,0.039899053,3
0,0.029761905,0.30952381,0,0,-8,0,-0.041666667,0.285714286,0,0.027629117,0.030231067,3
0,0,0,0,0,1,0,-0.142857143,-0.285714286,0,0.027629117,0.025600287,1
0,0,0.214285714,0,0,-2,0,0,0.214285714,0,0.027629117,0.028277129,3
0,0,0.285714286,0,-1,-2,0,0,-0.214285714,1,0.027629117,0.034596503,3
0,-0.107142857,0.25,-1,-3,-2,0,0,-0.571428571,1,0.027629117,0.034624778,3
0,0,0,0,0,0,0,0,0.090909091,1,0.040638346,0.052407262,3
1,0.045454545,-0.818181818,1,0,-2,0,0.181818182,-0.090909091,1,0.040638346,0.032470813,2
0,0,0.043290043,0,0,0,0,0,0.359307359,1,0.040638346,0.050583522,3
0,-0.409090909,-0.5,-1,0,0,0,0,-0.727272727,1,0.040638346,0.0491611,1
0,0.052447552,0.090909091,1,0,1,0,0,-0.472027972,0,0.040638346,0.076786684,3
1,0,-0.909090909,0,6,5,1,0.181818182,-0.556149733,0,0.040638346,0.073076212,3
0,0,0.090909091,0,0,0,0,0,-0.333333333,1,0.040638346,0.068098489,3
0,0,-0.333333333,0,-1,1,0,0,0.03030303,0,0.040638346,0.028527572,3
1,-0.04040404,-0.727272727,0,-1,1,1,0.090909091,-0.191919192,0,0.040638346,0.03433071,3
1,-0.375,-0.625,0,1,2,0,0.0625,-0.0625,0,0.032948104,0.031141162,1
0,0,0.096153846,0,-1,-9,0,-0.076923077,0.163461538,0,0.032948104,0.037964216,3
0,-0.1875,-0.3125,0,-1,-2,0,-0.125,0,1,0.032948104,0.037953695,3
0,0.011029412,0.268382353,0,0,2,0,-0.058823529,0.290441176,1,0.032948104,0.03424198,3
0,0,0.0625,0,1,-2,0,0,0.145833333,1,0.032948104,0.041104284,3
0,-0.0625,0.1875,-1,-2,-7,0,-0.25,-0.375,1,0.032948104,0.031058131,3
0,0,-0.366071429,0,-1,1,0,0,-0.035714286,0,0.032948104,0.035943993,3
0,-0.375,-0.5625,-1,-1,-5,0,-0.1875,-0.25,1,0.032948104,0.030202353,1
0,0,0,0,0,0,0,0,0,1,0.032948104,0.034153988,3
1,0.055555556,-0.333333333,-1,-1,-6,0,0.222222222,0.555555556,0,0.031497819,0.031587647,2
1,0,-0.555555556,1,2,2,1,0.666666667,0.266666667,0,0.031497819,0.037047835,2
0,0,-0.266666667,0,-1,1,0,0,0.466666667,0,0.031497819,0.037517553,3
0,0.060606061,0.303030303,1,0,-5,0,0,0.343434343,0,0.031497819,0.027146841,3
0,0.061111111,0.022222222,0,1,-1,0,0.111111111,0.216666667,0,0.031497819,0.041576695,3
0,0,-0.5,0,0,0,0,0,0.333333333,0,0.031497819,0.042142833,3
0,-0.055555556,0.125,0,-2,0,0,-0.375,0.013888889,0,0.031497819,0.029552867,3
1,0.083333333,-0.333333333,0,3,3,1,0.583333333,0.416666667,0,0.031497819,0.036836626,2
1,0.222222222,0,1,0,3,1,0.62962963,0.555555556,0,0.031497819,0.030915321,2
1,0.079365079,-0.444444444,1,-2,5,1,0.150793651,0.277777778,0,0.031497819,0.035912316,2
0,0.079365079,0.301587302,0,-1,-3,0,-0.071428571,0.095238095,0,0.031497819,0.032740373,3
0,0.284444444,0.72,-1,-1,0,0,-0.16,0.28,0,0.031497819,0.030178889,1
0,-0.277777778,-0.083333333,-2,-2,-1,1,0,0.138888889,0,0.031497819,0.024637518,2
0,0.02020202,0.818181818,0,0,1,0,-0.181818182,0.393939394,0,0.031497819,0.038660487,1
0,0.080808081,0.636363636,-1,-1,-5,0,-0.454545455,0.070707071,0,0.031497819,0.03288051,1
0,0,0,0,0,0,0,0,0.377777778,0,0.031497819,0.053592152,3
0,0.158730159,0.095238095,0,0,3,1,-0.031746032,0.142857143,0,0.031497819,0.027629117,2
0,0,0,0,0,2,0,0.222222222,0.333333333,0,0.031497819,0.03433493,2
0,0.104575163,0.37254902,0,0,5,0,0,0.705882353,0,0.031497819,0.03424198,3
0,0,0,0,0,0,0,0,0,0,0.031497819,0.045654924,3
0,0.243055556,0.3125,0,-1,2,1,-0.090277778,0.25,0,0.031497819,0.032948104,1
0,0,0.555555556,0,-1,-3,1,-0.333333333,0.111111111,0,0.031497819,0.029711155,2
0,0.138888889,0.5,0,-1,2,0,-0.416666667,0.166666667,1,0.031497819,0.032810933,3
0,0,0,0,0,-1,0,0,0.111111111,0,0.031497819,0.041888944,3
0,0,-0.066666667,0,-1,0,0,0,0.555555556,0,0.031497819,0.042814806,3
1,0,-0.111111111,-1,-1,-2,1,0.111111111,0.222222222,0,0.031497819,0.03112651,2
0,0,0,0,0,0,0,0,0.111111111,0,0.031497819,0.062328632,3
0,0,0.875,-1,-1,-3,0,-0.375,-0.291666667,0,0.031497819,0.028949071,3
0,0.222222222,0.111111111,0,-1,-4,0,-0.166666667,0.111111111,0,0.031497819,0.029962782,1
0,0,0.412698413,0,-1,-2,0,0,-0.047619048,0,0.031497819,0.025111236,3
0,0,0,-1,-1,3,0,0,0.222222222,0,0.031497819,0.030937394,3
0,0,0,1,0,0,0,0,0,1,0.031497819,0.026140514,3
0,0,0,0,0,0,0,0,0,0,0.031497819,0.039613375,3
1,0,-0.666666667,1,2,1,1,0.75,0.433333333,0,0.032810933,0.037047835,2
0,0.016666667,0.283333333,0,-3,3,0,0,0.35,0,0.032810933,0.035848458,3
0,-0.233333333,0.016666667,0,-1,-2,0,0,0.233333333,0,0.032810933,0.033304922,3
0,0.05952381,-0.05952381,0,-1,2,0,0.011904762,-0.023809524,0,0.032810933,0.027629117,2
1,0,-0.75,0,0,1,0,0.25,0.25,0,0.032810933,0.03433493,3
0,-0.138888889,-0.055555556,0,-1,-3,1,0.138888889,-0.138888889,0,0.032810933,0.029711155,3
0,-0.027777778,0.194444444,0,-1,-4,0,0.083333333,0.194444444,0,0.032810933,0.03112651,3
0,0,-0.153846154,0,0,3,0,0.125,0.298076923,1,0.041888944,0.050135155,3
0,0,-0.142857143,0,0,0,0,0,0.25,1,0.041888944,0.040883165,3
0,-0.125,-0.25,2,0,0,0,0,0.375,1,0.041888944,0.042603535,3
0,0,0.1875,0,0,7,0,0.125,0.625,0,0.041888944,0.033725841,3
0,0.025,-0.1,0,1,0,0,0,0.525,1,0.041888944,0.03368025,3
0,0,-0.541666667,0,0,7,0,0.125,-0.5,0,0.041888944,0.041662945,3
0,-0.15,-0.4,0,2,4,0,0,0.475,1,0.041888944,0.04555263,3
0,0,1,0,0,-5,0,-0.2,-0.075,1,0.041888944,0.052370793,1
0,-0.042735043,0.367521368,0,-2,1,0,0,-0.158119658,0,0.02969347,0.030296988,3
0,-0.063492063,-0.253968254,1,-5,6,0,0.111111111,0.079365079,0,0.02969347,0.035912316,2
0,-0.277777778,0.111111111,1,-1,-1,0,0,-0.777777778,0,0.02969347,0.027924421,1
0,0,0.055555556,0,2,1,0,0,-0.6,0,0.02969347,0.02889522,3
1,-0.222222222,-0.444444444,0,-1,-3,1,0.277777778,-0.111111111,0,0.02969347,0.03112651,2
0,-0.044444444,0.033333333,0,-1,-1,0,0,-0.3,0,0.02969347,0.026246219,3
0,-0.138888889,-0.152777778,0,0,-1,0,0,-0.208333333,0,0.02969347,0.038931867,3
0,0,0,0,1,2,0,0,-0.2,0,0.02969347,0.068013075,3
1,0.055555556,-0.666666667,0,-1,-9,1,0.222222222,0.444444444,0,0.03112651,0.031587647,2
0,0.074074074,0.074074074,0,0,-4,0,-0.037037037,0.074074074,0,0.03112651,0.029331264,3
0,0,-0.022222222,0,-1,-1,0,0,0.311111111,0,0.03112651,0.035848458,3
0,-0.138888889,-0.027777778,0,0,-2,0,0,0.166666667,1,0.03112651,0.035958405,2
0,0,-0.063492063,0,-1,-1,0,0.111111111,0.420634921,1,0.03112651,0.035912316,1
0,-0.055555556,-0.111111111,0,0,-2,0,0,0.5,1,0.03112651,0.040054581,1
0,-0.055555556,0.375,2,0,0,0,-0.388888889,-0.208333333,1,0.03112651,0.03258776,1
1,0,-0.666666667,0,0,-5,1,0.111111111,0,1,0.03112651,0.031763294,1
0,0,0.111111111,0,0,0,0,0,-0.25,0,0.03112651,0.041888944,3
0,0.02020202,0.282828283,0,-1,-5,0,0,0.232323232,0,0.03112651,0.031953683,3
1,0.213333333,-0.333333333,1,0,-4,1,0.182222222,0.368888889,1,0.03112651,0.033310758,1
0,0,0,0,0,0,0,0.125,0.375,0,0.028949071,0.04368496,3
0,0,-0.75,3,1,-3,0,0.25,0,0,0.028949071,0.029552867,3
0,0,1,0,0,-2,0,-0.333333333,-0.333333333,1,0.028949071,0.042514622,2
1,0.17,-0.75,0,-1,1,1,0.25,0.265,0,0.028949071,0.030178889,2
0,0.102272727,0.272727273,0,-2,0,0,-0.090909091,-0.045454545,0,0.028949071,0.03288051,3
1,0,-0.875,0,0,0,1,0.125,-0.125,0,0.028949071,0.041104284,3
1,0,-0.875,1,1,1,1,0.375,0.291666667,1,0.028949071,0.031497819,3
1,0,-0.875,0,0,2,1,0.125,0.138888889,1,0.028949071,0.045001308,3
1,0.111111111,-0.333333333,0,-1,-6,0,0.111111111,0.388888889,0,0.030937394,0.031587647,2
0,0,0,0,0,0,0,0,0,1,0.030937394,0.038598146,3
1,0,-0.222222222,0,-1,-7,1,0.411111111,0.211111111,0,0.030937394,0.033658659,3
0,0.243055556,0.326388889,0,-3,-4,0,0,0.215277778,1,0.030937394,0.028676197,3
1,0.217948718,-0.111111111,0,0,-5,1,0.183760684,0.162393162,0,0.030937394,0.028299361,3
0,-0.027777778,0.5,-1,-1,-2,0,-0.375,-0.208333333,1,0.030937394,0.03258776,3
0,-0.027777778,0.305555556,-2,-1,0,0,0,0.041666667,1,0.030937394,0.030597609,1
0,-0.031746032,0.714285714,-1,-1,-3,0,-0.142857143,-0.047619048,1,0.030937394,0.032690104,1
0,-0.277777778,-0.305555556,1,0,-2,0,-0.25,-0.333333333,1,0.030937394,0.037032863,3
0,0.04040404,0.505050505,1,-2,-4,0,-0.181818182,-0.373737374,1,0.030937394,0.028838462,3
0,0,0.666666667,1,-1,-4,0,-0.333333333,-0.888888889,1,0.030937394,0.028966008,1
